1,270
2,251
3,263
4,248
5,248
6,257
7,227
8,215
9,265
10,258
11,253
12,273
13,263
14,260
15,252
16,240
17,281
18,248
19,272
20,234
21,250
22,272
23,252
24,288
25,246
26,257
27,270
28,256
29,256
30,243
31,244
32,273
33,257
34,272
35,258
36,257
37,230
38,267
39,252
40,265
41,292
42,246
43,249
44,263
45,266
46,261
47,273
48,269
49,268
50,253
51,241
52,240
53,252
54,257
55,273
56,245
57,286
58,243
59,259
60,229
61,255
62,209
63,259
64,260
65,247
66,252
67,259
68,238
69,262
70,244
71,253
72,251
73,258
74,236
75,246
76,256
77,247
78,221
79,243
80,245
81,287
82,246
83,222
84,285
85,258
86,242
87,265
88,281
89,237
90,258
91,283
92,252
93,243
94,268
95,274
96,246
97,264
98,262
99,266
100,218
101,266
102,260
103,272
104,245
105,252
106,239
107,241
108,263
109,285
110,233
111,253
112,263
113,257
114,248
115,264
116,287
117,280
118,232
119,244
120,256
121,250
122,251
123,277
124,251
125,298
126,253
127,281
128,267
129,249
130,247
131,258
132,242
133,274
134,249
135,246
136,250
137,225
138,274
139,264
140,271
141,248
142,240
143,260
144,269
145,267
146,253
147,289
148,246
149,259
150,254
151,267
152,231
153,268
154,284
155,249
156,244
157,228
158,259
159,240
160,290
161,245
162,271
163,253
164,230
165,276
166,256
167,254
168,263
169,291
170,239
171,236
172,269
173,248
174,241
175,249
176,266
177,250
178,272
179,239
180,247
181,282
182,243
183,269
184,247
185,280
186,248
187,254
188,258
189,260
190,249
191,235
192,245
193,246
194,275
195,249
196,246
197,238
198,233
199,266
200,271
201,254
202,238
203,263
204,246
205,273
206,277
207,246
208,241
209,246
210,235
211,247
212,269
213,245
214,261
215,253
216,257
217,268
218,238
219,287
220,248
221,249
222,247
223,273
224,263
225,244
226,234
227,251
228,257
229,259
230,264
231,240
232,261
233,296
234,291
235,287
236,224
237,262
238,283
239,260
240,275
241,269
242,257
243,241
244,270
245,259
246,271
247,265
248,248
249,244
250,230
251,267
252,257
253,237
254,252
255,244
